trade_date,open,high,low,close,vol,amount,outstanding_share,turnover
2023-07-05,19.63,19.8,19.47,19.57,5887302.0,122231164.0,1678123584.0,0.0035082648597113096
2023-07-06,19.56,19.57,19.32,19.35,4393568.0,90090263.0,1678123584.0,0.00261814328926087
2023-07-07,19.31,19.39,19.1,19.26,4962022.0,100939691.0,1678123584.0,0.002956887113267577
2023-07-10,19.27,19.69,19.27,19.58,7429018.0,153533657.0,1678123584.0,0.004426979079986519
2023-07-11,19.66,19.68,19.51,19.62,4988712.0,103287728.0,1678123584.0,0.002972791782181401
2023-07-12,19.63,19.64,19.32,19.35,5172117.0,106219744.0,1678123584.0,0.0030820834945133576
2023-07-13,19.5,19.59,19.36,19.49,4140204.0,85157625.0,1678123584.0,0.002467162752180235
2023-07-14,19.41,19.5,19.25,19.29,5230186.0,106875216.0,1678123584.0,0.003116687024642876
2023-07-17,19.21,19.41,19.13,19.22,3254289.0,66117229.0,1678123584.0,0.0019392427536493045
2023-07-18,19.34,19.43,19.07,19.27,5365885.0,109181185.0,1678123584.0,0.003197550556562585
2023-07-19,19.28,19.45,19.08,19.14,3803266.0,77224266.0,1678123584.0,0.002266380161903499
2023-07-20,19.24,19.44,19.05,19.07,5272633.0,107227956.0,1678123584.0,0.0031419813476621754
2023-07-21,19.05,19.23,18.94,19.01,3896629.0,78476349.0,1678123584.0,0.0023220155161111184
2023-07-24,18.94,19.01,18.72,18.72,4375548.0,87112617.0,1678123584.0,0.0026074051051534473
2023-07-25,18.91,19.92,18.91,19.82,19786565.0,411071891.0,1678123584.0,0.011790886671669588
2023-07-26,19.71,20.26,19.65,19.69,11501176.0,242347955.0,1678123584.0,0.006853592971136028
2023-07-27,19.67,20.11,19.64,19.84,9259343.0,194951765.0,1678123584.0,0.005517676462140705
2023-07-28,19.91,21.54,19.7,21.32,29476030.0,649154218.0,1678123584.0,0.017564874411537975
2023-07-31,21.17,22.37,21.12,21.89,29174432.0,678347137.0,1678123584.0,0.017385151056908094
2023-08-01,21.89,22.01,21.5,21.58,12576457.0,288315618.0,1678123584.0,0.007494356863767192
2023-08-02,21.48,21.88,21.3,21.68,8280580.0,189529067.0,1678123584.0,0.004934427999791462
2023-08-03,21.68,21.8,21.37,21.69,7256047.0,165513730.0,1678123584.0,0.004323905026532301
2023-08-04,21.79,21.92,21.51,21.58,6114151.0,139814883.0,1678123584.0,0.003643445011020118
2023-08-07,21.69,21.69,21.16,21.33,8897878.0,200288369.0,1678123584.0,0.005302278142585237
2023-08-08,21.33,21.48,21.02,21.13,6759261.0,151076958.0,1678123584.0,0.004027868426643839
2023-08-09,21.23,21.23,20.9,21.02,5872047.0,130206819.0,1678123584.0,0.0034991743492474507
2023-08-10,20.98,21.18,20.81,20.88,5809500.0,128703251.0,1678123584.0,0.0034619023624901275
2023-08-11,20.83,21.07,20.24,20.27,7760843.0,168302652.0,1678123584.0,0.004624714814805916
2023-08-14,20.1,20.49,19.82,20.32,7777621.0,165258255.0,1678123584.0,0.004634712886556989
2023-08-15,20.29,20.81,20.21,20.49,7296664.0,158170382.0,1678123584.0,0.004348108845838138
2023-08-16,20.37,20.8,20.32,20.56,4515548.0,98211280.0,1678123584.0,0.0026908316187516258
2023-08-17,20.27,20.63,20.07,20.49,6809663.0,146423546.0,1678123584.0,0.00405790316334652
2023-08-18,21.3,22.1,21.21,21.22,28494599.0,649278951.0,1678123584.0,0.01698003607820102
2023-08-21,21.61,21.61,21.01,21.05,11835875.0,265810198.0,1678123584.0,0.007053041333098862
2023-08-22,21.06,21.29,20.57,20.78,10575688.0,233000737.0,1678123584.0,0.006302091276729235
2023-08-23,20.83,20.88,20.17,20.21,5849727.0,126800440.0,1678123584.0,0.003485873779365227
2023-08-24,20.23,20.59,20.02,20.36,6512246.0,140096146.0,1678123584.0,0.0038806712819548814
2023-08-25,20.26,20.37,20.0,20.1,4645400.0,98864300.0,1678123584.0,0.0027682109019212735
2023-08-28,21.27,21.33,20.23,20.48,11165972.0,242748746.0,1678123584.0,0.006653843677820573
2023-08-29,20.46,21.17,20.26,20.95,8273088.0,182074126.0,1678123584.0,0.004929963489506623
2023-08-30,21.07,21.2,20.76,20.87,6731440.0,149168133.0,1678123584.0,0.004011289790680875
2023-08-31,20.93,20.98,20.71,20.78,4766120.0,104756714.0,1678123584.0,0.0028401483927896457
2023-09-01,20.68,21.33,20.65,21.14,6250190.0,139269468.0,1678123584.0,0.003724511150187137
2023-09-04,21.18,21.51,21.04,21.13,6749965.0,151104488.0,1678123584.0,0.00402232890614092
2023-09-05,21.13,21.22,20.45,20.6,8626400.0,188530921.0,1678123584.0,0.005140503406452335
2023-09-06,20.64,20.66,20.37,20.55,4770021.0,103238846.0,1678123584.0,0.002842473013000692
2023-09-07,20.55,20.64,20.24,20.26,4520039.0,97342947.0,1678123584.0,0.0026935078221271215
2023-09-08,20.16,20.31,20.07,20.21,3540587.0,75522812.0,1678123584.0,0.0021098487821502422
2023-09-11,20.26,20.31,19.88,19.91,9566416.0,202463145.0,1678123584.0,0.005700662389355944
2023-09-12,19.9,19.96,19.7,19.77,6131104.0,128265581.0,1678123584.0,0.003653547365913189
2023-09-13,19.72,19.83,19.46,19.56,6755268.0,139782088.0,1678123584.0,0.004025488983295285
2023-09-14,19.54,19.64,19.4,19.54,4560400.0,93932712.0,1678123584.0,0.002717559090093808
2023-09-15,19.64,19.68,19.34,19.39,5269663.0,108455854.0,1678123584.0,0.003140211513766557
2023-09-18,19.4,19.76,19.39,19.62,6222280.0,129041285.0,1678123584.0,0.003707879478797671
2023-09-19,19.63,19.64,19.44,19.55,3737093.0,77029373.0,1678123584.0,0.002226947428443983
2023-09-20,19.45,19.58,19.39,19.48,4162800.0,85616747.0,1678123584.0,0.002480627791474981
2023-09-21,19.5,19.55,19.31,19.31,3626300.0,74369043.0,1678123584.0,0.00216092547329339
2023-09-22,19.29,19.57,19.2,19.56,4353960.0,89373116.0,1678123584.0,0.002594540736756608
2023-09-25,19.55,19.56,19.29,19.31,4637679.0,94807668.0,1678123584.0,0.002763609929696334
2023-09-26,19.39,19.5,19.27,19.28,3284480.0,67075059.0,1678123584.0,0.0019572336813067515
2023-09-27,19.22,19.72,19.21,19.4,5714206.0,117504151.0,1678123584.0,0.003405116318298522
2023-09-28,19.41,19.74,19.39,19.46,5336961.0,110213135.0,1678123584.0,0.0031803146388532013
2023-10-09,19.32,19.48,19.21,19.39,4884762.0,99966378.0,1678123584.0,0.0029108475958347533
2023-10-10,19.32,19.57,18.6,18.68,12374820.0,246049241.0,1678123584.0,0.0073742006357500785
2023-10-11,18.79,19.0,18.74,18.89,6906821.0,137905072.0,1678123584.0,0.004115799971976319
2023-10-12,18.89,19.02,17.56,18.03,22039759.0,420156972.0,1678123584.0,0.013133573242243403
2023-10-13,17.94,18.03,17.76,17.83,7927921.0,149686879.0,1678123584.0,0.004724277207941319
2023-10-16,17.79,18.07,17.79,17.93,6066383.0,114978636.0,1678123584.0,0.0036149798845804197
2023-10-17,17.93,18.39,17.9,18.15,7651590.0,147218270.0,1678123584.0,0.004559610551304903
2023-10-18,18.01,18.12,17.8,17.82,3801100.0,71887725.0,1678123584.0,0.0022650894345574014
2023-10-19,17.8,17.8,17.55,17.57,5923148.0,110419451.0,1678123584.0,0.0035296256226144546
2023-10-20,17.54,17.81,17.48,17.63,5142746.0,96010874.0,1678123584.0,0.0030645812078641285
2023-10-23,17.63,17.64,17.08,17.27,6730998.0,122553465.0,1678123584.0,0.004011026401259372
2023-10-24,16.56,16.92,15.8,15.89,23065403.0,390947981.0,1678123584.0,0.013744758264478333
2023-10-25,16.01,16.32,16.0,16.1,14242042.0,242785950.0,1678123584.0,0.008486885075563064
2023-10-26,16.09,16.09,15.65,15.91,11066835.0,184623373.0,1678123584.0,0.006594767575830696
2023-10-27,15.87,16.44,15.81,16.24,13753837.0,235808966.0,1678123584.0,0.008195961925054502
2023-10-30,16.23,16.41,16.05,16.36,13429497.0,230654268.0,1678123584.0,0.008002686529194265
2023-10-31,16.52,16.52,16.23,16.37,8232176.0,141852074.0,1678123584.0,0.0049055838786185605
2023-11-01,16.31,16.53,16.23,16.39,7665758.0,132823380.0,1678123584.0,0.004568053314481039
2023-11-02,16.36,16.49,16.1,16.1,8423127.0,144349884.0,1678123584.0,0.005019372280033459
2023-11-03,16.11,16.48,16.11,16.42,11066814.0,191219290.0,1678123584.0,0.006594755061853657
2023-11-06,16.55,17.07,16.53,17.0,12987220.0,231275274.0,1678123584.0,0.007739132042375254
2023-11-07,16.97,17.03,16.75,16.88,8462493.0,150845133.0,1678123584.0,0.00504283062384993
2023-11-08,16.9,16.94,16.65,16.78,8506110.0,150974104.0,1678123584.0,0.005068822154161442
2023-11-09,16.77,16.94,16.71,16.82,6463545.0,114985763.0,1678123584.0,0.003851650177392418
2023-11-10,16.78,16.82,16.52,16.55,6939792.0,121653048.0,1678123584.0,0.004135447511832358
2023-11-13,16.56,16.8,16.38,16.52,7735607.0,134962616.0,1678123584.0,0.004609676589826176
2023-11-14,16.5,16.68,16.44,16.5,6833724.0,119530783.0,1678123584.0,0.004072241201515704
2023-11-15,16.67,16.79,16.59,16.72,10263542.0,181116944.0,1678123584.0,0.0061160823302033995
2023-11-16,16.68,16.68,16.4,16.42,7438888.0,129687949.0,1678123584.0,0.004432860649195191
2023-11-17,16.38,16.48,16.21,16.48,5983073.0,103326842.0,1678123584.0,0.0035653351499528177
2023-11-20,16.46,16.56,16.17,16.56,9143613.0,158416071.0,1678123584.0,0.005448712530578439
2023-11-21,16.63,16.75,16.48,16.48,9335517.0,164166230.0,1678123584.0,0.005563068828189474
2023-11-22,16.38,16.47,16.17,16.17,7327853.0,126102411.0,1678123584.0,0.004366694485356807
2023-11-23,16.17,16.41,16.13,16.4,5971988.0,102752812.0,1678123584.0,0.0035587295577868476
