trade_date,open,high,low,close,vol,amount,outstanding_share,turnover,ts_code
2023-07-06,89.39,89.76,87.6,88.93,6960567.0,644858774.0,744897060.0,0.00934433410168111,002812.SZ
2023-07-07,88.42,88.82,87.65,87.77,3844929.0,354318261.0,744897060.0,0.005161691737647615,002812.SZ
2023-07-10,87.81,91.29,87.81,90.19,8156661.0,769067292.0,744897060.0,0.010950051272856413,002812.SZ
2023-07-11,89.75,90.32,88.49,89.45,5355846.0,499627656.0,744887100.0000001,0.007190144654136176,002812.SZ
2023-07-12,89.45,91.1,88.51,89.75,5021981.0,471541536.0,744887100.0000001,0.006741935791343412,002812.SZ
2023-07-13,89.99,92.28,89.99,91.71,7597581.0,725728259.0,744887100.0000001,0.010199640992574577,002812.SZ
2023-07-14,91.98,92.05,88.72,90.83,11468273.0,1077295376.0,744887100.0000001,0.01539598819740602,002812.SZ
2023-07-17,89.39,90.02,88.5,88.9,3994501.0,372582800.0,744151216.0,0.00536786195347694,002812.SZ
2023-07-18,89.2,89.97,87.97,88.31,4910036.0,456079920.0,744151216.0,0.0065981696924351995,002812.SZ
2023-07-19,88.42,88.53,87.37,87.85,3800574.0,348418430.0,743332533.0,0.005112885325577429,002812.SZ
2023-07-20,88.23,89.75,87.7,88.06,5502068.0,509679662.0,743333328.0,0.007401885254901419,002812.SZ
2023-07-21,87.67,88.44,85.76,88.25,4654233.0,425314893.0,743333328.0,0.006261300044924126,002812.SZ
2023-07-24,88.25,88.28,86.08,86.86,5089953.0,461549227.0,743333328.0,0.0068474704527172765,002812.SZ
2023-07-25,87.46,89.68,87.46,88.94,6439908.0,596842706.0,743333328.0,0.008663553425388723,002812.SZ
2023-07-26,88.93,89.38,88.14,88.44,3430570.0,317613412.0,743333328.0,0.004615116625041196,002812.SZ
2023-07-27,88.82,91.4,88.74,90.14,8542476.0,806806113.0,743333328.0,0.011492120261826872,002812.SZ
2023-07-28,89.39,91.81,88.8,91.58,7580920.0,719742573.0,743333328.0,0.010198547158375227,002812.SZ
2023-07-31,91.59,93.58,91.28,92.26,6870964.0,663689440.0,743333328.0,0.009243449393674974,002812.SZ
2023-08-01,91.78,93.55,91.64,91.99,5667180.0,548243921.0,743333328.0,0.007624009023311276,002812.SZ
2023-08-02,91.97,93.92,91.7,92.36,5481220.0,531810932.0,743333373.0,0.007373838171530609,002812.SZ
2023-08-03,91.79,93.94,91.31,93.56,5523337.0,536475421.0,743333373.0,0.007430497809762673,002812.SZ
2023-08-04,93.56,94.75,92.57,93.01,4971611.0,485801126.0,743333373.0,0.006688265562375066,002812.SZ
2023-08-07,92.33,93.58,91.37,92.06,4059192.0,391350869.0,743333373.0,0.005460796121150342,002812.SZ
2023-08-08,92.23,93.89,91.78,92.92,4018522.0,390853185.0,743333373.0,0.005406083119585699,002812.SZ
2023-08-09,92.37,94.15,92.28,92.89,4144133.0,404294041.0,743333373.0,0.005575066518639948,002812.SZ
2023-08-10,92.89,94.35,92.62,93.62,3951113.0,385985643.0,743333373.0,0.005315398371061701,002812.SZ
2023-08-11,93.61,94.03,91.89,91.9,3582344.0,347572800.0,743333373.0,0.00481929660381332,002812.SZ
2023-08-14,91.06,91.57,89.59,90.13,3184049.0,300499196.0,743333373.0,0.0042834737624514,002812.SZ
2023-08-15,90.6,90.61,87.53,88.18,4243043.0,391804047.0,743333373.0,0.005708129291808348,002812.SZ
2023-08-16,88.17,90.04,87.49,87.49,3768677.0,348971987.0,743333373.0,0.0050699687877460604,002812.SZ
2023-08-17,87.28,87.48,85.19,86.97,5810579.0,524738285.0,743333373.0,0.007816922004388467,002812.SZ
2023-08-18,86.81,87.45,84.9,84.9,3920454.0,352883810.0,743333373.0,0.005274153081782863,002812.SZ
2023-08-21,85.15,85.73,80.16,80.47,10341343.0,881867541.0,743333373.0,0.013912119885407056,002812.SZ
2023-08-22,80.47,80.9,72.42,72.42,22940298.0,1783834159.0,743333823.0,0.030861367114193593,002812.SZ
2023-08-23,70.64,70.8,67.32,67.88,23892507.0,1718038749.0,743333823.0,0.032142364925051986,002812.SZ
2023-08-24,68.8,69.05,65.46,65.81,22880616.0,1589547877.0,743333823.0,0.030781077480985283,002812.SZ
2023-08-25,65.27,65.34,63.37,64.09,13613479.0,911287244.0,743333823.0,0.018314085245116043,002812.SZ
2023-08-28,67.29,67.9,64.5,64.89,17188394.0,1187948210.0,743333823.0,0.0231233847675999,002812.SZ
2023-08-29,64.86,65.59,63.94,65.28,15745437.0,1066799147.0,743333823.0,0.021182188288504666,002812.SZ
2023-08-30,65.28,65.91,64.09,64.85,13277356.0,900643219.0,743333823.0,0.017861902134917382,002812.SZ
2023-08-31,64.67,64.7,62.73,63.6,13829651.0,916484228.0,743333823.0,0.018604899403319632,002812.SZ
2023-09-01,63.66,63.83,61.99,62.52,11483181.0,751297293.0,743333823.0,0.015448215384112826,002812.SZ
2023-09-04,62.89,64.28,61.61,63.4,14520326.0,957421414.0,743333823.0,0.019534057984066735,002812.SZ
2023-09-05,63.23,63.51,62.49,62.92,9254744.0,607873173.0,743333823.0,0.012450320049542532,002812.SZ
2023-09-06,62.71,62.71,61.39,62.01,12793269.0,826812850.0,743328545.0,0.017210786651547197,002812.SZ
2023-09-07,61.98,62.16,60.29,60.3,9682479.0,616006002.0,743328545.0,0.013025840410850897,002812.SZ
2023-09-08,59.99,60.24,59.13,59.23,8796184.0,546046173.0,743328545.0,0.011833507618088311,002812.SZ
2023-09-11,59.2,60.34,58.64,59.92,9599577.0,597397360.0,743328545.0,0.012914312338159971,002812.SZ
2023-09-12,59.79,60.88,59.51,60.11,9285256.0,583489118.0,743328545.0,0.012491456251017509,002812.SZ
2023-09-13,59.82,60.7,59.2,59.48,7636998.0,476074243.0,743328545.0,0.010274054523225662,002812.SZ
2023-09-14,59.4,59.4,58.28,58.65,6910624.0,423807791.0,743328545.0,0.009296863475086915,002812.SZ
2023-09-15,58.65,59.33,58.02,58.6,7999943.0,489133152.0,743328545.0,0.010762324484659741,002812.SZ
2023-09-18,58.43,60.74,57.82,59.61,10896943.0,679933941.0,743328545.0,0.014659659007175623,002812.SZ
2023-09-19,59.63,59.87,58.56,58.92,5762970.0,354550004.0,743328545.0,0.007752924381506161,002812.SZ
2023-09-20,58.55,59.01,58.3,58.38,4532920.0,277105553.0,743328545.0,0.006098137937108281,002812.SZ
2023-09-21,58.03,58.68,57.78,57.88,6715025.0,406066494.0,743328545.0,0.009033724111859582,002812.SZ
2023-09-22,57.67,58.93,57.58,58.9,8754529.0,530858626.0,743328545.0,0.011777469140513096,002812.SZ
2023-09-25,58.9,59.38,57.76,58.64,9654698.0,586485034.0,743328545.0,0.01298846662749915,002812.SZ
2023-09-26,58.45,58.71,57.87,57.87,6618294.0,400288268.0,743328545.0,0.008903591883451752,002812.SZ
2023-09-27,57.65,60.08,57.6,58.22,15052089.0,919034179.0,743328545.0,0.020249577526987073,002812.SZ
2023-09-28,58.26,59.16,57.34,57.58,13391015.0,807539110.0,745001000.0,0.017974492651687716,002812.SZ
2023-10-09,57.02,57.21,56.07,56.78,12972808.0,764364010.0,745001030.0,0.017413141026127173,002812.SZ
2023-10-10,57.48,57.77,56.25,56.3,10076902.0,595795497.0,745001030.0,0.013526024252610765,002812.SZ
2023-10-11,56.74,57.64,55.95,56.24,11192330.0,660860216.0,745001030.0,0.015023240974579593,002812.SZ
2023-10-12,56.37,60.26,56.35,59.33,26432913.0,1610874542.0,745001030.0,0.03548037108082924,002812.SZ
2023-10-13,58.75,59.07,57.4,57.77,11357404.0,686065899.0,745001030.0,0.01524481650716644,002812.SZ
2023-10-16,58.64,60.01,56.0,56.59,17274481.0,1029327456.0,745001030.0,0.02318719076133358,002812.SZ
2023-10-17,57.29,62.25,56.49,59.98,39111120.0,2459678280.0,745001030.0,0.052498075069775406,002812.SZ
2023-10-18,59.19,59.24,57.22,57.4,22550735.0,1364378571.0,745001030.0,0.03026940110404948,002812.SZ
2023-10-19,56.71,57.67,55.8,56.16,16754294.0,984546394.0,745001030.0,0.02248895414278823,002812.SZ
2023-10-20,55.51,61.78,55.14,61.78,45150703.0,2832464766.0,745001030.0,0.06060488668049224,002812.SZ
2023-10-23,62.48,62.68,60.71,60.94,34813536.0,2232752115.0,745001030.0,0.046729513917584786,002812.SZ
2023-10-24,61.33,61.51,59.45,60.86,24134088.0,1519741816.0,745001030.0,0.03239470420597942,002812.SZ
2023-10-25,61.55,61.55,58.75,59.3,23139551.0,1442416898.0,745001030.0,0.031059757058322455,002812.SZ
2023-10-26,58.49,58.56,53.47,55.2,35596251.0,2030536197.0,745001030.0,0.04778013662611983,002812.SZ
2023-10-27,54.37,60.72,53.93,60.72,39778247.0,2451110414.0,745001030.0,0.05339354631496281,002812.SZ
2023-10-30,62.48,65.79,62.2,64.92,52635386.0,3497595999.0,745001030.0,0.07065142715306044,002812.SZ
2023-10-31,64.09,64.85,63.06,64.4,26766999.0,1776484000.0,745001030.0,0.03592880804473519,002812.SZ
2023-11-01,63.25,63.37,61.26,62.27,21649208.0,1403236824.0,745001030.0,0.02905929942137127,002812.SZ
2023-11-02,62.91,62.98,60.44,60.62,15618431.0,993648820.0,745001030.0,0.020964307928540715,002812.SZ
2023-11-03,60.56,61.76,60.34,61.08,15304821.0,973143149.0,745001030.0,0.020543355490394422,002812.SZ
2023-11-06,61.0,67.09,61.0,66.57,33877182.0,2282480230.0,745001030.0,0.04547266464853075,002812.SZ
2023-11-07,66.8,66.81,65.14,65.75,18920860.0,1293130745.0,745001030.0,0.025397092404019897,002812.SZ
2023-11-08,65.37,69.24,65.37,67.36,27449746.0,1933084601.0,745001030.0,0.03684524570388849,002812.SZ
2023-11-09,67.52,68.8,66.69,66.92,18396972.0,1293363982.0,745001030.0,0.024693888007107857,002812.SZ
2023-11-10,66.42,66.89,65.48,65.56,12201001.0,835233247.0,745001030.0,0.016377159908087646,002812.SZ
2023-11-13,65.76,67.19,64.88,65.35,12091518.0,823235327.0,745001030.0,0.01623020306428301,002812.SZ
2023-11-14,65.32,65.75,63.92,64.8,14229666.0,956268748.0,745001030.0,0.019100196411808986,002812.SZ
2023-11-15,66.02,66.08,64.35,64.73,20221122.0,1370576488.0,745001030.0,0.027142408111838448,002812.SZ
2023-11-16,64.38,64.58,63.13,63.19,13289689.0,879384282.0,745001030.0,0.017838484062230087,002812.SZ
2023-11-17,62.58,63.61,62.49,63.34,9777111.0,643033308.0,745001030.0,0.013123620782108181,002812.SZ
2023-11-20,63.58,63.71,61.6,62.19,16287024.0,1053601514.0,745001030.0,0.02186174695624246,002812.SZ
2023-11-21,62.12,62.82,61.42,61.42,13152652.0,848800052.0,745001030.0,0.017654542034660006,002812.SZ
2023-11-22,61.04,61.21,59.12,59.17,18291027.0,1140943115.0,745001030.0,0.024551680150026102,002812.SZ
2023-11-23,58.98,59.48,58.44,58.92,12168053.0,744448893.0,745001030.0,0.016332934465875838,002812.SZ
2023-11-24,58.93,59.06,57.67,57.83,10762730.0,651367252.0,745001030.0,0.01444659747651624,002812.SZ
2023-11-27,57.67,57.67,56.4,56.87,10628555.0,628894249.0,745001030.0,0.0142664970543732,002812.SZ
2023-11-28,56.52,58.82,56.38,58.09,14604426.0,880412807.0,745001030.0,0.019603229273387715,002812.SZ
2023-11-29,57.75,57.77,56.52,56.57,11240052.0,666143666.0,745001030.0,0.015087297261857476,002812.SZ
2023-11-30,56.41,57.73,56.09,56.59,10422344.0,615362977.0,745001030.0,0.013989704148462722,002812.SZ
2023-12-01,56.71,57.07,55.35,55.88,13319768.0,776951444.0,745001030.0,0.017878858503054686,002812.SZ
2023-12-04,55.57,56.18,54.86,55.39,9145703.0,527427145.0,745001030.0,0.01227609443707749,002812.SZ
2023-12-05,54.94,56.54,54.61,54.71,12060018.0,696991097.0,745001030.0,0.016187921243545126,002812.SZ
2023-12-06,54.56,57.25,54.32,56.32,18008666.0,1059471666.0,745001030.0,0.024172672620331813,002812.SZ
2023-12-07,56.16,56.21,55.16,55.56,11499360.0,664813120.0,745001030.0,0.01543536121017175,002812.SZ
2023-12-08,55.8,56.09,54.6,54.66,10272488.0,587032267.0,744933566.0,0.013789804176980797,002812.SZ
2023-12-11,53.83,54.06,52.9,54.02,14446969.0,803697281.0,744933566.0,0.01939363408951289,002812.SZ
2023-12-12,53.69,55.04,53.62,54.39,9129900.0,516903262.0,744933566.0,0.012255992234346438,002812.SZ
2023-12-13,53.93,54.1,52.33,52.36,12352257.0,681350184.0,744933566.0,0.016581689379801687,002812.SZ
2023-12-14,52.68,53.43,51.31,51.33,11967317.0,648326127.0,744933566.0,0.01606494531352612,002812.SZ
2023-12-15,51.52,52.26,50.62,50.9,13226538.0,707114244.0,744933566.0,0.01775532558026792,002812.SZ
2023-12-18,50.29,50.83,49.37,49.42,12019899.0,622947402.0,744933566.0,0.016135531473688486,002812.SZ
2023-12-19,49.4,49.91,48.81,49.26,10978541.0,563584207.0,744933566.0,0.014737610843541986,002812.SZ
2023-12-20,49.21,49.47,48.23,48.75,19776615.0,1003442297.0,830336618.0,0.023817587435364676,002812.SZ
2023-12-21,48.45,49.93,48.11,49.4,28034604.0,1427202431.0,830336693.0,0.03376293524824393,002812.SZ
2023-12-22,49.03,52.38,48.54,51.12,29870360.0,1571356997.0,830336693.0,0.03597379262149505,002812.SZ
2023-12-25,50.82,51.71,50.46,51.56,15041581.0,801131906.0,830336693.0,0.018115038305310686,002812.SZ
2023-12-26,51.45,52.21,51.12,51.75,13419699.0,721895558.0,830336693.0,0.0161617559637341,002812.SZ
2023-12-27,51.68,51.8,50.87,51.27,13259507.0,706298503.0,830336693.0,0.01596883181459018,002812.SZ
2023-12-28,51.01,55.13,51.01,54.63,26046915.0,1456067261.0,830336693.0,0.03136910029339147,002812.SZ
2023-12-29,54.5,55.3,54.19,54.62,14621949.0,830468583.0,830336693.0,0.017609662590209053,002812.SZ
2024-01-02,54.62,54.62,52.74,52.74,12499699.0,694036685.0,830336693.0,0.015053771687288303,002812.SZ
2024-01-03,52.6,53.33,52.18,52.75,10821917.0,592141712.0,830336693.0,0.013033167257610282,002812.SZ
2024-01-04,52.78,52.84,51.01,51.22,9995843.0,535655654.0,830336693.0,0.01203830094980519,002812.SZ
2024-01-05,51.04,52.92,49.99,50.36,13709954.0,733544044.0,830336693.0,0.01651131898129907,002812.SZ
2024-01-08,50.22,51.39,48.96,49.03,11928549.0,617357734.0,830336693.0,0.01436591818784046,002812.SZ
2024-01-09,49.03,50.22,47.95,49.28,13037850.0,666310936.0,830336693.0,0.015701883476803066,002812.SZ
2024-01-10,48.83,51.0,48.38,49.21,15251877.0,789671466.0,830336693.0,0.018368304241614432,002812.SZ
