trade_date,open,high,low,close,vol,amount
2023-07-10,18.54,18.57,18.08,18.24,41454,76323326.0
2023-07-11,18.21,18.55,18.15,18.39,32547,60379534.0
2023-07-12,18.45,18.48,17.54,17.63,59891,108367936.0
2023-07-13,17.64,18.02,17.6,17.98,46219,83245849.0
2023-07-14,18.04,18.85,18.01,18.53,76743,143538119.0
2023-07-17,18.4,18.65,18.2,18.36,36651,68166546.0
2023-07-18,18.36,18.65,18.17,18.21,31082,57765065.0
2023-07-19,18.21,18.37,17.9,18.01,26368,48131870.0
2023-07-20,18.08,18.11,17.55,17.63,37874,68177804.0
2023-07-21,17.59,17.69,17.42,17.44,28327,50286690.0
2023-07-24,17.38,17.74,17.26,17.43,25691,45445356.0
2023-07-25,17.66,17.88,17.43,17.73,32802,58670587.0
2023-07-26,17.71,17.71,17.13,17.28,36524,63888929.0
2023-07-27,17.19,17.35,17.07,17.13,21626,37596019.0
2023-07-28,17.15,17.32,16.87,17.27,22262,38611309.0
2023-07-31,17.29,17.67,17.12,17.53,28382,50230914.0
2023-08-01,17.4,17.71,17.3,17.53,27091,47939838.0
2023-08-02,17.63,17.68,17.42,17.59,17144,30414944.0
2023-08-03,17.57,17.68,17.36,17.46,17406,30789798.0
2023-08-04,17.5,17.97,17.45,17.85,36742,66115711.0
2023-08-07,17.83,18.08,17.75,17.92,28313,51330434.0
2023-08-08,17.89,18.05,17.8,17.88,21799,39515502.0
2023-08-09,17.82,17.98,17.35,17.4,27716,49299779.0
2023-08-10,17.36,17.56,17.19,17.33,19934,34931694.0
2023-08-11,17.33,17.39,16.98,16.99,18707,32434753.0
2023-08-14,16.81,17.09,16.73,17.09,22598,38630807.0
2023-08-15,17.1,17.27,16.73,16.86,18110,31038471.0
2023-08-16,16.83,16.88,16.52,16.52,21843,36855852.0
2023-08-17,16.52,16.96,16.42,16.94,19756,33544570.0
2023-08-18,16.89,17.01,16.46,16.51,18404,31179513.0
2023-08-21,16.49,16.83,16.48,16.54,14819,24952414.0
2023-08-22,16.55,16.95,16.4,16.95,23382,39522324.0
2023-08-23,16.9,16.9,16.47,16.55,23422,39427289.0
2023-08-24,16.63,16.84,16.44,16.46,22338,37523780.0
2023-08-25,16.27,16.29,15.62,15.79,37293,60097018.0
2023-08-28,16.48,16.75,15.8,15.81,31428,51581896.0
2023-08-29,15.75,16.75,15.7,16.69,40018,66541490.0
2023-08-30,16.64,17.17,16.49,16.76,51388,87350044.0
2023-08-31,16.79,16.95,16.51,16.7,25410,43111354.0
2023-09-01,16.7,16.83,16.53,16.57,24368,41084087.0
2023-09-04,16.61,16.83,16.52,16.8,22961,38684017.0
2023-09-05,16.72,17.17,16.72,16.99,38433,66219225.0
2023-09-06,16.83,18.03,16.71,17.81,100608,178495848.0
2023-09-07,17.66,17.8,17.24,17.32,49557,87657861.0
2023-09-08,17.35,18.01,17.04,17.81,65263,116592076.0
2023-09-11,17.8,18.31,17.59,18.08,83989,152838682.0
2023-09-12,18.12,18.32,17.86,18.02,65195,119011219.0
2023-09-13,17.98,18.05,17.35,17.68,58700,104398204.0
2023-09-14,17.88,18.89,17.75,18.38,138184,255831393.0
2023-09-15,17.99,18.15,17.29,17.46,84830,151162269.0
2023-09-18,17.24,17.42,16.72,16.97,62312,107328461.0
2023-09-19,17.13,19.6,16.44,18.52,200365,367098800.0
2023-09-20,18.52,18.64,17.86,17.99,128994,237310811.0
2023-09-21,18.06,20.77,17.92,19.88,298719,596452683.0
2023-09-22,19.58,21.26,18.81,21.11,324808,650084870.0
2023-09-25,20.9,20.96,20.02,20.36,226178,465385029.0
2023-09-26,19.7,19.81,18.71,18.82,200727,386729147.0
2023-09-27,18.8,19.28,18.51,18.68,146564,278955475.0
2023-09-28,18.64,19.37,18.48,18.99,132303,254055265.0
2023-10-09,18.81,19.95,18.5,19.56,164700,321201762.0
2023-10-10,19.41,19.89,19.28,19.45,128638,253778413.0
2023-10-11,19.22,20.19,19.01,19.77,149584,298494180.0
2023-10-12,19.6,20.35,19.27,19.9,144566,289438639.0
2023-10-13,19.62,21.1,19.49,20.6,167575,345040862.0
2023-10-16,20.67,20.83,19.38,19.7,129681,261725285.0
2023-10-17,19.78,20.98,19.19,20.13,148928,303670795.0
2023-10-18,19.74,19.79,18.75,18.9,133898,257639605.0
2023-10-19,18.65,19.11,18.32,18.34,83401,157103708.0
2023-10-20,18.3,18.54,17.63,17.73,71506,130102697.0
2023-10-23,17.6,18.1,17.1,17.25,67982,120338211.0
2023-10-24,17.31,17.72,17.18,17.45,60583,106945164.0
2023-10-25,17.52,17.99,17.23,17.85,62685,112368429.0
2023-10-26,17.56,19.13,17.5,18.78,118950,223458972.0
2023-10-27,18.51,18.7,18.21,18.28,70744,131477049.0
2023-10-30,18.2,18.7,18.12,18.59,56284,105121924.0
2023-10-31,18.54,18.68,18.21,18.4,43608,81164259.0
2023-11-01,18.31,18.52,18.13,18.26,36378,67191914.0
2023-11-02,18.18,18.46,17.92,17.92,39323,72072534.0
2023-11-03,17.86,18.48,17.85,18.38,46290,85780632.0
2023-11-06,18.5,18.78,18.39,18.71,48167,90538966.0
2023-11-07,18.68,19.09,18.52,18.97,62098,117905542.0
2023-11-08,18.93,20.26,18.71,20.16,167806,331498947.0
2023-11-09,19.82,20.12,19.31,19.48,126679,251381790.0
2023-11-10,19.29,19.78,19.21,19.22,62893,123420587.0
2023-11-13,19.5,19.78,19.4,19.69,68612,135910876.0
2023-11-14,19.59,19.95,19.32,19.77,64968,129317786.0
2023-11-15,19.9,19.95,19.59,19.68,56114,111815687.0
2023-11-16,19.6,19.68,19.43,19.47,47790,94311852.0
2023-11-17,19.39,19.54,19.17,19.43,43411,84766020.0
2023-11-20,19.41,19.56,19.28,19.4,39188,76889299.0
2023-11-21,19.4,19.6,19.1,19.32,58334,114141407.0
2023-11-22,19.25,19.52,18.94,18.96,55015,106750064.0
2023-11-23,18.86,19.19,18.77,19.13,48490,92914081.0
2023-11-24,19.08,19.18,18.35,18.47,50784,95443893.0
2023-11-27,18.4,19.2,18.39,19.01,50645,96315484.0
2023-11-28,18.8,19.14,18.57,18.96,44071,84048270.0
2023-11-29,18.85,19.43,18.73,19.31,71716,138889724.0
2023-11-30,19.15,19.22,18.58,18.88,55012,104890658.0
2023-12-01,18.98,19.58,18.73,19.49,66194,128521385.0
2023-12-04,19.49,19.93,19.25,19.69,92449,183107026.0
2023-12-05,19.68,19.8,18.77,18.77,89279,173632487.0
2023-12-06,18.62,18.7,17.87,17.92,89700,165021410.0
