trade_date,open,high,low,close,vol,amount
2023-12-14,0.998,1.0,0.992,0.995,126051800,0
2023-12-15,0.997,0.999,0.99,0.99,32006500,0
2023-12-18,0.991,0.995,0.987,0.99,22509900,0
2023-12-19,0.99,0.991,0.986,0.99,10360000,0
2023-12-20,0.99,0.997,0.988,0.99,17697400,0
2023-12-21,0.989,0.989,0.977,0.986,10949300,0
2023-12-22,0.985,0.99,0.983,0.986,9485100,0
2023-12-25,0.986,0.986,0.977,0.986,7208900,0
2023-12-26,0.986,0.993,0.984,0.985,8446100,0
2023-12-27,0.985,0.991,0.981,0.99,5344500,0
2023-12-28,0.991,0.992,0.984,0.987,8178000,0
2023-12-29,0.987,0.992,0.986,0.991,8192200,0
2024-01-02,0.992,1.007,0.991,1.002,32480400,0
2024-01-03,1.0,1.016,1.0,1.012,18478100,0
2024-01-04,1.012,1.025,1.012,1.024,11979600,0
2024-01-05,1.02,1.04,1.02,1.027,11853000,0
2024-01-08,1.027,1.027,1.016,1.018,8457500,0
2024-01-09,1.013,1.025,1.01,1.024,5519500,0
2024-01-10,1.02,1.025,1.016,1.016,2444400,0
2024-01-11,1.018,1.018,1.01,1.013,4022800,0
2024-01-12,1.009,1.019,1.008,1.013,4855100,0
2024-01-15,1.016,1.023,1.014,1.023,4425300,0
2024-01-16,1.02,1.028,1.018,1.027,4765700,0
2024-01-17,1.025,1.03,1.015,1.015,5877900,0
2024-01-18,1.015,1.015,0.981,1.008,13249300,0
2024-01-19,1.007,1.007,0.993,1.002,4523600,0
2024-01-22,1.0,1.001,0.97,0.979,6840600,0
2024-01-23,0.97,0.987,0.964,0.985,4166800,0
2024-01-24,0.986,1.006,0.984,1.005,7071200,0
2024-01-25,1.007,1.036,1.006,1.035,8594100,0
2024-01-26,1.032,1.049,1.029,1.048,9917200,0
2024-01-29,1.051,1.06,1.047,1.053,10497600,0
2024-01-30,1.05,1.055,1.038,1.039,9669400,0
2024-01-31,1.03,1.048,1.03,1.04,6408000,0
2024-02-01,1.036,1.037,1.022,1.026,6102800,0
2024-02-02,1.031,1.043,1.008,1.029,9296400,0
