trade_date,open,high,low,close,vol,amount,outstanding_share,turnover
2023-07-05,11.11,11.22,11.06,11.12,71207528.0,840514440.0,20525299238.0,0.0034692565099449686
2023-07-06,11.04,11.08,10.86,10.94,76833555.0,891638839.0,20525299238.0,0.003743358579530591
2023-07-07,10.85,11.05,10.63,10.89,125582984.0,1442386664.0,20525299238.0,0.006118448386248078
2023-07-10,10.92,11.09,10.82,10.88,80589768.0,935831992.0,20525299238.0,0.003926362634986496
2023-07-11,11.04,11.27,11.01,11.16,121686578.0,1437145246.0,20525299238.0,0.005928614077144009
2023-07-12,11.15,11.36,11.1,11.27,187653141.0,2243047027.0,20525299238.0,0.009142528877366324
2023-07-13,11.67,12.03,11.67,11.8,289777576.0,3643040704.0,20525299238.0,0.014118068274664343
2023-07-14,12.02,12.07,11.84,11.86,127187184.0,1608069170.0,20525299238.0,0.00619660559026243
2023-07-17,11.77,11.78,11.6,11.63,86362787.0,1069695816.0,20525299238.0,0.004207626207958528
2023-07-18,11.63,11.81,11.56,11.69,68098977.0,845908312.0,20525299238.0,0.0033178067812976554
2023-07-19,11.84,11.93,11.74,11.87,103886841.0,1304436929.0,20525299238.0,0.005061404454833313
2023-07-20,11.82,12.07,11.8,11.89,98663315.0,1251621301.0,20525299238.0,0.004806912379495902
2023-07-21,11.83,11.95,11.77,11.81,70515847.0,887056620.0,20525299238.0,0.003435557561540872
2023-07-24,11.7,11.9,11.67,11.72,57319982.0,715170937.0,20525299238.0,0.0027926502476455636
2023-07-25,11.92,12.35,11.92,12.2,175567357.0,2270880546.0,20525299238.0,0.008553705111151763
2023-07-26,12.22,12.33,12.14,12.32,89449527.0,1161974129.0,20525299238.0,0.004358013296799858
2023-07-27,12.32,12.35,12.1,12.14,76066981.0,986230626.0,20525299238.0,0.003706010817088191
2023-07-28,11.93,12.1,11.83,12.06,145064577.0,1840514413.0,20525299238.0,0.00706759864097042
2023-07-31,12.25,12.43,12.21,12.26,116713079.0,1524225381.0,20525299238.0,0.005686303407646329
2023-08-01,12.51,12.67,12.26,12.3,120142346.0,1584776007.0,20525299238.0,0.005853378535771679
2023-08-02,12.09,12.22,12.04,12.12,83936798.0,1078483438.0,20525299238.0,0.004089431146738247
2023-08-03,12.02,12.07,11.88,12.01,109846621.0,1394928275.0,20525299238.0,0.005351767091250628
2023-08-04,12.12,12.25,12.05,12.11,78105281.0,1007042200.0,20525299238.0,0.0038053175300556854
