final_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate_pct,profit_loss_ratio,total_trades,holding_return_pct,excess_return_pct,code,name,type,short,long,period_label,ma_combo
-3.77,-1.27,-7.53,-0.71,35.71,1.3,21,-7.57,3.79,300504.SZ,天邑股份,股票,5,10,短周期,MA5/MA10
-5.36,-1.82,-6.87,-0.9,28.57,0.96,10,-7.57,2.21,300504.SZ,天邑股份,股票,5,20,经典,MA5/MA20
-2.13,-0.71,-5.32,-0.66,50.0,0.44,7,-7.57,5.44,300504.SZ,天邑股份,股票,10,30,中周期,MA10/MA30
-3.11,-1.05,-5.77,-0.74,33.33,0.52,3,-7.57,4.46,300504.SZ,天邑股份,股票,20,60,长周期,MA20/MA60
-1.03,-0.34,-5.09,-0.76,28.95,2.22,19,-27.46,26.43,002812.SZ,恩捷股份,股票,5,10,短周期,MA5/MA10
2.65,0.88,-3.9,-0.32,33.33,3.15,9,-27.46,30.11,002812.SZ,恩捷股份,股票,5,20,经典,MA5/MA20
0.51,0.17,-4.07,-0.55,20.0,4.54,5,-27.46,27.97,002812.SZ,恩捷股份,股票,10,30,中周期,MA10/MA30
4.76,1.56,-4.74,-0.07,20.0,13.47,2,-27.46,32.22,002812.SZ,恩捷股份,股票,20,60,长周期,MA20/MA60
4.73,1.55,-4.11,-0.09,35.29,2.83,17,22.07,-17.34,600967.SH,内蒙一机,股票,5,10,短周期,MA5/MA10
10.14,3.28,-3.67,0.35,44.44,3.32,9,22.07,-11.92,600967.SH,内蒙一机,股票,5,20,经典,MA5/MA20
5.75,1.88,-6.71,0.01,44.44,4.09,4,22.07,-16.31,600967.SH,内蒙一机,股票,10,30,中周期,MA10/MA30
11.78,3.79,-10.31,0.33,25.0,19.91,2,22.07,-10.28,600967.SH,内蒙一机,股票,20,60,长周期,MA20/MA60
0.72,0.24,-4.17,-0.67,43.18,1.44,22,150.18,-149.46,601899.SH,紫金矿业,股票,5,10,短周期,MA5/MA10
4.63,1.52,-3.82,-0.12,39.13,2.65,11,150.18,-145.55,601899.SH,紫金矿业,股票,5,20,经典,MA5/MA20
7.25,2.36,-4.43,0.15,30.77,6.18,6,150.18,-142.93,601899.SH,紫金矿业,股票,10,30,中周期,MA10/MA30
10.92,3.52,-6.44,0.4,50.0,6.17,2,150.18,-139.26,601899.SH,紫金矿业,股票,20,60,长周期,MA20/MA60
2.94,0.97,-2.38,-0.38,34.38,2.9,16,32.94,-29.99,600346.SH,恒力石化,股票,5,10,短周期,MA5/MA10
0.75,0.25,-2.94,-0.71,38.89,1.84,9,32.94,-32.18,600346.SH,恒力石化,股票,5,20,经典,MA5/MA20
-1.4,-0.47,-4.63,-1.06,30.77,1.61,7,32.94,-34.33,600346.SH,恒力石化,股票,10,30,中周期,MA10/MA30
3.7,1.22,-3.55,-0.25,60.0,4.83,2,32.94,-29.24,600346.SH,恒力石化,股票,20,60,长周期,MA20/MA60
10.91,3.52,-3.23,0.44,54.05,1.83,19,334.8,-323.89,002080.SZ,中材科技,股票,5,10,短周期,MA5/MA10
10.57,3.41,-3.01,0.38,43.48,3.98,12,334.8,-324.23,002080.SZ,中材科技,股票,5,20,经典,MA5/MA20
18.39,5.79,-4.73,0.74,75.0,4.46,4,334.8,-316.41,002080.SZ,中材科技,股票,10,30,中周期,MA10/MA30
20.87,6.53,-4.72,0.86,60.0,24.16,3,334.8,-313.93,002080.SZ,中材科技,股票,20,60,长周期,MA20/MA60
4.28,1.73,-5.62,-0.04,37.93,2.7,14,105.86,-101.58,159562.SZ,华夏黄金ETF,ETF,5,10,短周期,MA5/MA10
1.54,0.63,-4.72,-0.4,33.33,2.66,9,105.86,-104.32,159562.SZ,华夏黄金ETF,ETF,5,20,经典,MA5/MA20
3.23,1.31,-4.34,-0.18,41.67,2.54,6,105.86,-102.62,159562.SZ,华夏黄金ETF,ETF,10,30,中周期,MA10/MA30
5.17,2.08,-5.01,0.06,33.33,11.79,1,105.86,-100.69,159562.SZ,华夏黄金ETF,ETF,20,60,长周期,MA20/MA60
0.05,0.02,-1.39,-1.72,53.85,0.91,13,9.05,-9.0,563020.SH,易方达红利低波ETF,ETF,5,10,短周期,MA5/MA10
-1.18,-0.46,-2.43,-2.12,25.0,1.56,10,9.05,-10.22,563020.SH,易方达红利低波ETF,ETF,5,20,经典,MA5/MA20
-0.43,-0.17,-1.32,-2.22,41.67,0.95,6,9.05,-9.47,563020.SH,易方达红利低波ETF,ETF,10,30,中周期,MA10/MA30
-0.26,-0.1,-1.07,-2.79,25.0,2.1,2,9.05,-9.31,563020.SH,易方达红利低波ETF,ETF,20,60,长周期,MA20/MA60
