trade_date,open,high,low,close,vol,amount,outstanding_share,turnover
2023-07-05,9.43,9.44,9.28,9.29,11508900.0,113148680.0,1694932377.0,0.00679018240265759
2023-07-06,9.3,9.47,9.23,9.3,11421357.0,112170047.0,1694932377.0,0.006738532554446566
2023-07-07,9.3,9.35,9.18,9.27,9021900.0,87804381.0,1694932377.0,0.005322867226106449
2023-07-10,9.27,9.36,9.25,9.29,9073003.0,88719498.0,1694932377.0,0.005353017691513483
2023-07-11,9.29,9.44,9.29,9.32,9158800.0,89798909.0,1695271857.0,0.005402555325968583
2023-07-12,9.33,9.36,9.14,9.17,9423124.0,91503055.0,1695271857.0,0.005558473681427958
2023-07-13,9.19,9.34,9.18,9.31,8592101.0,83595255.0,1695271857.0,0.005068273247457089
2023-07-14,9.3,9.34,9.25,9.26,7218330.0,70488138.0,1695271857.0,0.004257918852480543
2023-07-17,9.26,9.46,9.17,9.42,14285096.0,140733170.0,1695271857.0,0.008426433755161429
2023-07-18,9.39,9.71,9.36,9.65,22693712.0,228925458.0,1695271857.0,0.013386473624448305
2023-07-19,9.6,9.71,9.56,9.67,15040965.0,152402710.0,1695271857.0,0.00887230265629308
2023-07-20,9.61,9.71,9.43,9.47,12174419.0,122357570.0,1695271857.0,0.007181396275606314
2023-07-21,9.46,9.5,9.24,9.31,13899900.0,136251533.0,1695271857.0,0.008199215920800838
2023-07-24,9.29,9.44,9.25,9.32,7868400.0,77316916.0,1695271857.0,0.00464137947404149
2023-07-25,9.39,9.45,9.33,9.4,8132672.0,80242750.0,1695271857.0,0.004797267155954445
2023-07-26,9.42,9.42,9.27,9.29,7216531.0,70690704.0,1695271857.0,0.0042568576657495945
2023-07-27,9.29,9.42,9.22,9.23,10305746.0,100871863.0,1695271857.0,0.0060791111215857336
2023-07-28,9.2,9.28,9.13,9.27,10796000.0,104516610.0,1695271857.0,0.0063683001374805455
2023-07-31,9.26,9.39,9.23,9.29,12987684.0,127212374.0,1695271857.0,0.007661121693474795
2023-08-01,9.29,9.3,9.16,9.27,11744800.0,113911675.0,1695271857.0,0.006927974384464757
2023-08-02,9.26,9.32,9.18,9.2,8146755.0,78979025.0,1695271857.0,0.004805574378151197
2023-08-03,9.19,9.23,9.16,9.2,5570698.0,53858415.0,1695271857.0,0.0032860204556560395
2023-08-04,9.23,9.27,9.17,9.19,7582899.0,73472000.0,1695271857.0,0.004472969316802621
2023-08-07,9.18,9.21,9.08,9.09,9661200.0,92722159.0,1695271857.0,0.005698908974456006
2023-08-08,9.12,9.12,8.92,8.99,13065997.0,123401076.0,1695271857.0,0.007707316644259022
2023-08-09,8.97,9.05,8.96,9.0,7010000.0,66255765.0,1695271857.0,0.00413503000775645
2023-08-10,9.0,9.04,8.93,8.96,7255776.0,68396014.0,1695271857.0,0.004280007345158211
2023-08-11,8.96,8.98,8.83,8.86,7035500.0,65840553.0,1695271857.0,0.004150071843020043
2023-08-14,8.83,8.9,8.78,8.83,7184824.0,66670864.0,1695271857.0,0.004238154470820075
2023-08-15,8.83,8.86,8.74,8.8,6829972.0,63138866.0,1695271857.0,0.004028835830547265
2023-08-16,8.8,8.82,8.75,8.75,4782658.0,44131267.0,1695271857.0,0.0028211746571806624
2023-08-17,8.76,8.96,8.69,8.95,9773307.0,91008058.0,1695271857.0,0.005765038191157797
2023-08-18,8.93,9.0,8.84,8.85,7431400.0,69784837.0,1695271857.0,0.004383603708935988
2023-08-21,8.86,8.98,8.8,8.8,8536992.0,79585074.0,1695271857.0,0.00503576577688684
2023-08-22,8.8,8.92,8.73,8.85,8230758.0,76435366.0,1695271857.0,0.00485512572276483
