时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2021-07-21 16:00:00,0.69,0.21,213,0,97153,0,-0.48
2021-07-22 16:00:00,0.84,0.51,301,0,0,0,-0.33
2021-07-23 16:00:00,-0.39,-1.67,0,-2180,0,0,-1.29
2021-07-26 16:00:00,-3.6,-3,0,-1334,0,0,0.62
2021-07-27 16:00:00,-7,-5.4,0,-2404,0,0,1.72
2021-07-28 16:00:00,-6.82,-7.87,0,-2468,0,0,-1.13
2021-07-29 16:00:00,-5.06,-5.51,2361.44,0,2030,-562,-0.47
2021-07-30 16:00:00,-5.83,-4.7,807,0,0,0,1.2
2021-08-02 16:00:00,-3.43,-2.67,2033,0,454,0,0.79
2021-08-03 16:00:00,-3.42,-2.79,0,-116,0,0,0.65
2021-08-04 16:00:00,-2.55,-3.03,0,-247,0,0,-0.49
2021-08-05 16:00:00,-3.14,-3.47,0,-435,0,0,-0.34
2021-08-06 16:00:00,-3.67,-3.6,0,-131.56,11680,-12560,0.07
2021-08-09 16:00:00,-2.42,-1.97,1633.26,0,11725,-11736,0.46
2021-08-10 16:00:00,-1.29,-0.75,1217.56,0,10969,-12444,0.55
2021-08-11 16:00:00,-1.83,-0.53,224,0,0,0,1.32
2021-08-12 16:00:00,-2.65,0,528,0,0,0,2.72
2021-08-13 16:00:00,-3.19,1.44,1440,0,0,0,4.78
2021-08-16 16:00:00,-3.29,1.52,77.38,0,14426,-12619,4.97
2021-08-17 16:00:00,-5.32,-0.66,0,-2177,0,0,4.92
2021-08-18 16:00:00,-4.2,-0.64,12.16,0,12180,-11837,3.72
2021-08-19 16:00:00,-4.83,-1.16,0,-516,0,0,3.86
2021-08-20 16:00:00,-6.65,-0.79,370,0,0,0,6.28
2021-08-23 16:00:00,-5.35,1.55,2336.37,0,0,-633,7.29
2021-08-24 16:00:00,-4.32,2.96,1416.61,0,12636,-12393,7.61
2021-08-25 16:00:00,-4.13,4.7,1742.68,0,12784,-12320,9.21
2021-08-26 16:00:00,-6.02,5.39,688.62,0,0,-376,12.14
2021-08-27 16:00:00,-5.52,5.57,180.08,0,12705,-12924,11.74
2021-08-30 16:00:00,-5.79,6.39,814.58,0,376,-13416,12.93
2021-08-31 16:00:00,-5.94,4.87,0,-1516.33,12883,-13332,11.49
2021-09-01 16:00:00,-4.69,5.8,924.1,0,12865,-11895,11.01
2021-09-02 16:00:00,-4.69,6.3,508.58,0,11928,-13423,11.53
2021-09-03 16:00:00,-5.21,6.73,425,0,0,0,12.6
2021-09-06 16:00:00,-3.43,8.71,1975.75,0,10092,-12250,12.57
2021-09-07 16:00:00,-2.27,10.77,2060.96,0,14056,-11035,13.34
2021-09-08 16:00:00,-2.68,11.13,359.51,0,0,-489,14.19
2021-09-09 16:00:00,-2.72,11.42,298.89,0,11044,-14105,14.54
2021-09-10 16:00:00,-1.87,9.75,0,-1669.92,0,-921,11.84
2021-09-13 16:00:00,-2.3,11.44,1683.96,0,13637,-10040,14.06
2021-09-14 16:00:00,-3.75,11.14,0,-295.1,10008,-14103,15.47
2021-09-15 16:00:00,-4.73,11.23,82,0,0,0,16.75
2021-09-16 16:00:00,-5.9,11.11,0,-111.99,14084,-9986,18.08
2021-09-17 16:00:00,-4.95,11.17,52,0,0,0,16.96
2021-09-22 16:00:00,-5.62,12.04,876.62,0,9772,-13375,18.71
2021-09-23 16:00:00,-5.01,12.44,400.48,0,13120,-14518,18.37
2021-09-24 16:00:00,-5.08,10.43,0,-2015,0,0,16.34
2021-09-27 16:00:00,-4.53,6.37,0,-4060,0,0,11.42
