时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2021-07-21 16:00:00,0.69,0.21,213,0,96696,0,-0.48
2021-07-22 16:00:00,0.84,0.01,0,-206.35,11256,-12350,-0.82
2021-07-23 16:00:00,-0.39,-1.89,0,-1895,0,0,-1.51
2021-07-26 16:00:00,-3.6,-3.06,0,-1166.93,12084,-10934,0.56
2021-07-27 16:00:00,-7,-5.31,0,-2253,0,0,1.82
2021-07-28 16:00:00,-6.82,-7.82,0,-2509.27,10549,-10266,-1.07
2021-07-29 16:00:00,-5.06,-5.46,2361.44,0,2030,-562,-0.42
2021-07-30 16:00:00,-5.83,-4.65,807,0,0,0,1.25
2021-08-02 16:00:00,-3.43,-2.7,1947.13,0,10516,-11872,0.76
2021-08-03 16:00:00,-3.42,-2.75,0,-47.31,12096,-10311,0.69
2021-08-04 16:00:00,-2.55,-3,0,-247,0,0,-0.46
2021-08-05 16:00:00,-3.14,-3.43,0,-435,0,0,-0.3
2021-08-06 16:00:00,-3.67,-3.6,0,-167.56,10920,-12560,0.07
2021-08-09 16:00:00,-2.42,-1.76,1841.26,0,11362,-11736,0.68
2021-08-10 16:00:00,-1.29,-0.21,1546.56,0,11529,-12444,1.09
2021-08-11 16:00:00,-1.83,-0.06,153,0,0,0,1.8
2021-08-12 16:00:00,-2.65,0.73,793,0,0,0,3.47
2021-08-13 16:00:00,-3.19,3.18,2445.15,0,13000,-10848,6.58
2021-08-16 16:00:00,-3.29,3.59,414.26,0,23292,-25739,7.11
2021-08-17 16:00:00,-5.32,1.81,0,-1782,0,0,7.53
2021-08-18 16:00:00,-4.2,1.75,0,-65.8,12586,-10797,6.21
2021-08-19 16:00:00,-4.83,0.95,0,-794,0,0,6.07
2021-08-20 16:00:00,-6.65,1.56,606,0,739,0,8.79
2021-08-23 16:00:00,-5.35,4.05,2486.9,0,10416,-12099,9.93
2021-08-24 16:00:00,-4.32,5.39,1339.99,0,25993,-24014,10.15
2021-08-25 16:00:00,-4.13,7.22,1832.11,0,13584,-12886,11.84
2021-08-26 16:00:00,-6.02,8.24,1021.62,0,0,-376,15.17
2021-08-27 16:00:00,-5.52,8.36,123.14,0,12937,-13856,14.69
