时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2021-07-21 16:00:00,0.69,0.31,313.1,0,99672,0,-0.38
2021-07-22 16:00:00,0.84,2.91,2595,0,0,0,2.05
2021-07-23 16:00:00,-0.39,3.07,165,0,0,0,3.47
2021-07-26 16:00:00,-3.6,2.09,0,-983,0,0,5.9
2021-07-27 16:00:00,-7,0.84,0,-1251,0,0,8.43
2021-07-28 16:00:00,-6.82,-2.16,0,-2999.4,64985,-100695,5
2021-07-29 16:00:00,-5.06,-1.18,984,0,0,0,4.09
2021-07-30 16:00:00,-5.83,-0.29,888,0,0,0,5.88
2021-08-02 16:00:00,-3.43,1.75,2042,0,0,0,5.36
2021-08-03 16:00:00,-3.42,2.48,722,0,0,0,6.11
2021-08-04 16:00:00,-2.55,5.21,2735.45,0,99404,-65947,7.96
2021-08-05 16:00:00,-3.14,4.74,0,-476,0,0,8.14
2021-08-06 16:00:00,-3.67,3.63,0,-1110,0,0,7.58
2021-08-09 16:00:00,-2.42,4.28,653,0,0,0,6.87
2021-08-10 16:00:00,-1.29,5.46,1180,0,0,0,6.84
2021-08-11 16:00:00,-1.83,4.13,0,-1328.2,103206,-102490,6.07
2021-08-12 16:00:00,-2.65,6.04,1910,0,0,0,8.93
2021-08-13 16:00:00,-3.19,6.6,558,0,0,0,10.11
2021-08-16 16:00:00,-3.29,6.31,0,-287,0,0,9.93
2021-08-17 16:00:00,-5.32,4.77,0,-1536,0,0,10.66
2021-08-18 16:00:00,-4.2,6.99,2218.83,0,103170,-103244,11.68
2021-08-19 16:00:00,-4.83,6.27,0,-720,0,0,11.66
2021-08-20 16:00:00,-6.65,4.82,0,-1458,0,0,12.29
2021-08-23 16:00:00,-5.35,8.63,3818,0,0,0,14.77
2021-08-24 16:00:00,-4.32,8.18,0,-454,0,0,13.06
2021-08-25 16:00:00,-4.13,6.63,0,-1547.73,107981,-107182,11.22
2021-08-26 16:00:00,-6.02,4.05,0,-2584,0,0,10.72
2021-08-27 16:00:00,-5.52,3.58,0,-464,0,0,9.63
2021-08-30 16:00:00,-5.79,3.44,0,-141,0,0,9.8
